"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"181",185.300003,187.690002,176.149994,178.850006,1413000,178.850006
"182",181,181.600006,173.839996,180.360001,1316200,180.360001
"183",180.360001,186.039993,178.759995,183.940002,1260600,183.940002
"184",183,185,176.660004,178.539993,1214800,178.539993
"185",175.720001,177.119995,164.270004,169.119995,4100800,169.119995
"186",170.600006,173.889999,164.509995,164.860001,2240000,164.860001
"187",165,167.220001,158.869995,161.119995,2377100,161.119995
"188",162,163.589996,155.059998,157.649994,2532900,157.649994
"189",156.740005,158.889999,148.199997,152.75,14450600,152.75
"190",152.729996,157.789993,145.690002,146.800003,2393500,146.800003
"191",148,157.600006,145.220001,153.440002,2412100,153.440002
"192",154.589996,156.5,150.309998,151.770004,1352700,151.770004
"193",151.800003,164.710007,150.660004,161.130005,2249200,161.130005
"194",161.360001,166.899994,155.350006,159.050003,1623300,159.050003
"195",158.429993,159.050003,154.619995,158.779999,945400,158.779999
"196",159.880005,164.279999,157.330002,162.350006,1317800,162.350006
"197",160.470001,163.550003,157.410004,162.520004,1014800,162.520004
"198",161,169.880005,159.160004,163.929993,1572600,163.929993
"199",161.190002,169.479996,161.100006,163.550003,1215900,163.550003
"200",163.25,165.600006,156.75,157.050003,1411800,157.050003
"201",156.770004,157.990005,150.779999,152.899994,1196500,152.899994
"202",153.800003,160.089996,153.240005,159.300003,1154900,159.300003
"203",162.380005,167.289993,159.550003,164.889999,1343000,164.889999
"204",166.289993,225,165.149994,210.289993,14652200,210.289993
"205",206.649994,227,193,199.649994,12861100,199.649994
"206",200.679993,217,199,205.220001,6238600,205.220001
"207",207.699997,213,200.020004,204.949997,3230800,204.949997
"208",205,218.190002,203.020004,209.199997,3309600,209.199997
"209",212.699997,222.300003,211.460007,218.240005,3574700,218.240005
"210",224,231.440002,208.020004,212.970001,4453800,212.970001
"211",213.860001,214.800003,206.300003,213.520004,1852000,213.520004
"212",212.050003,216.270004,198.839996,202.75,2658600,202.75
"213",206.25,209.899994,196.100006,199,2496300,199
"214",201.860001,206.880005,190.679993,198.800003,5173600,198.800003
"215",180.089996,202,178,199.179993,7511500,199.179993
"216",198.410004,202.160004,190,190.410004,3042600,190.410004
"217",193.75,208.880005,191.5,203.399994,4334100,203.399994
"218",200.649994,204.619995,195,199.240005,2141600,199.240005
"219",197,204.869995,193.75,204.520004,2310400,204.520004
"220",202.330002,216.550003,201.149994,206.369995,3058200,206.369995
"221",208.020004,212.490005,200.779999,204.970001,3945900,204.970001
"222",200,202.850006,184.550003,192.199997,3941800,192.199997
"223",199.360001,199.360001,186,189.949997,2633800,189.949997
"224",189.639999,193.5,186.289993,190.139999,2256600,190.139999
"225",192.330002,195.75,190.600006,191.240005,1682300,191.240005
"226",191,191.720001,184.110001,185.160004,1685800,185.160004
"227",185.919998,192.050003,185.869995,189.479996,1470100,189.479996
"228",188,190.809998,178,178.600006,1770500,178.600006
"229",180.089996,184.479996,174.610001,175.919998,1899900,175.919998
"230",175,185.449997,166.789993,175.470001,3170700,175.470001
"231",179.399994,179.490005,172.25,176.910004,1551100,176.910004
"232",175.949997,176.949997,170.770004,171.360001,1195700,171.360001
"233",171.190002,173.169998,166.699997,172.179993,1315900,172.179993
"234",170.059998,172.960007,165.809998,171.070007,1200300,171.070007
"235",172,175.199997,170.539993,172.119995,1159300,172.119995
"236",172.5,175.720001,171.119995,172.679993,818200,172.679993
"237",173,188.490005,173,178.100006,2684900,178.100006
"238",180.5,181.779999,173.800003,175.820007,1233700,175.820007
"239",178.300003,188.210007,176,184.059998,1927900,184.059998
"240",183.759995,190.199997,182.600006,183.830002,1673900,183.830002
"241",184,186.979996,180.880005,183.279999,1200000,183.279999
"242",182.940002,189.869995,182.550003,186.020004,1589600,186.020004
"243",188.990005,192.179993,184.399994,186.789993,2070600,186.789993
"244",186.330002,188,181.979996,184.520004,2276900,184.520004
"245",184.710007,190.699997,180.600006,181.710007,2402400,181.710007
"246",178.100006,179.490005,167.800003,169.800003,2800400,169.800003
"247",169.419998,174.800003,167.259995,173.970001,1442800,173.970001
"248",173.360001,185,172.5,177.839996,2176700,177.839996
"249",180,183.089996,172.330002,173.509995,1107000,173.509995
"250",175.160004,183.139999,175,182.850006,1696200,182.850006
"251",182.809998,185.75,178,183.509995,2294000,183.509995
"252",182.529999,208.570007,182.050003,200.089996,4944200,200.089996
"253",199.350006,211.940002,191.690002,206.990005,3882300,206.990005
"254",214,255.690002,208.25,218.330002,11265600,218.330002
"255",222,228.970001,211.550003,217.839996,2908000,217.839996
"256",220.639999,221,209.009995,213.25,1810700,213.25
"257",212.5,225.039993,212.009995,218.639999,2157900,218.639999
"258",222,223.490005,204.440002,206.600006,1845300,206.600006
"259",202.119995,207.389999,196.5,199.190002,1309400,199.190002
"260",200,208.089996,198.149994,204.320007,1079400,204.320007
"261",202.139999,205.360001,197.880005,202.100006,928000,202.100006
"262",203.860001,211.5,201.690002,209.139999,1466400,209.139999
"263",209.020004,212.570007,203.630005,207.179993,1214600,207.179993
"264",206.300003,217.699997,206,210,1352700,210
"265",210.25,215.139999,207.5,210.119995,1004400,210.119995
"266",209.139999,229.389999,208.25,228.800003,3034200,228.800003
"267",230.460007,249.639999,229.75,247.550003,4371400,247.550003
"268",243.839996,252.199997,212.559998,213.899994,3345200,213.899994
"269",217.25,223.990005,208,211.779999,1309400,211.779999
"270",208.080002,211.729996,199.199997,199.720001,1235300,199.720001
"271",204,207.910004,200.940002,202.009995,1108800,202.009995
"272",200.100006,203.949997,188,196.210007,1723900,196.210007
"273",199.399994,200.110001,177.009995,179.839996,2351500,179.839996
"274",185,187.429993,173.070007,181.559998,2087100,181.559998
"275",181,183.929993,159.050003,172.389999,4096700,172.389999
"276",166,173.339996,163.199997,167.119995,2228600,167.119995
"277",175.179993,181.979996,170.509995,177.809998,1972400,177.809998
"278",176.600006,180.25,171.960007,173.649994,2611200,173.649994
"279",167,172.690002,151,155.759995,5084300,155.759995
"280",159.830002,162.300003,148,159.009995,4526900,159.009995
"281",160.330002,160.889999,135.070007,136.880005,5486200,136.880005
"282",131,150.369995,129.5,147.690002,6512100,147.690002
"283",147.460007,152,141.119995,148.589996,2766000,148.589996
"284",152.929993,154.440002,142.130005,144.589996,2164800,144.589996
"285",143.75,158.570007,139.330002,155.639999,4306700,155.639999
"286",153.190002,159.679993,149.699997,157.139999,1828600,157.139999
"287",157.059998,160.25,155.139999,158.119995,1430200,158.119995
"288",158.330002,159.149994,152.119995,154,1047200,154
"289",154,155,146.020004,152.139999,1055500,152.139999
"290",152,152.619995,140,148.309998,1613600,148.309998
"291",147.5,157.410004,146.410004,146.460007,1331100,146.460007
"292",147.850006,155.490005,142.139999,153.929993,2037400,153.929993
"293",151,160,150,155.330002,1561900,155.330002
"294",153.619995,156.729996,148.100006,148.389999,1394000,148.389999
